doc	0	1	2	3	4	5	6	7	8	9	10
35	0.000834028365236853	0.9498279760979086	0.04266537235348785	0.0008341258982325597	0.0008340716582531227	0.000834052586881971	0.0008340661241928649	0.0008341008858934007	0.0008340986950819101	0.0008340789695929982	0.0008340283652377838
36	0.001021450483281788	0.20151298803746964	0.001021590428119356	0.0010215604008669324	0.0010215221028035495	0.0010215494551183996	0.045083947610503716	0.5470547557151726	0.0010215733403488205	0.19919761194303184	0.0010214504832834087
37	0.00039016777814610606	0.7057249647596955	0.0003901910572133139	0.16055953344562587	0.00039018798805306754	0.0003902167536938826	0.04200866548776325	0.0003902195394317129	0.08897547315047505	0.0003902122617553416	0.0003901677781469206
38	0.0004522840403328197	0.23543144744366912	0.00045231752940707963	0.0004523079169288644	0.000452345035892014	0.00045229334190349975	0.0004523076169870816	0.7604977657867178	0.0004523193331965179	0.00045232791463201594	0.00045228404033323166
39	0.00012608750612512736	0.00012610050743752692	0.00012609714251493446	0.00012609817262585325	0.00012609114053510566	0.00012609562368164244	0.9987390487551074	0.00012609857758213178	0.0001260970894418149	0.00012609797882317034	0.00012608750612521272
40	0.0005443658249864032	0.0005444430977090056	0.0005444350864833684	0.11660990966207611	0.052877678168313874	0.000544440587611608	0.000544414543708107	0.0005444389912455263	0.5704592206168266	0.256242287596049	0.0005443658249905104
41	0.0002437241078040737	0.13272669973779103	0.00024374522705961334	0.00024374906612261484	0.00024373644273311483	0.00024374711734894737	0.00024374973500241145	0.00024375578827456966	0.00024375228603566008	0.8650796163840236	0.00024372410780431142
42	0.00019058509783919888	0.00019059295920721846	0.00019060173284231834	0.00019059646236104777	0.00019059205334100694	0.00019059778804208924	0.9980940451933814	0.00019059862436866134	0.00019060819705657816	0.00019059679372117406	0.00019058509783927385
43	0.00022727273078743362	0.3213153068342461	0.00022729440662507322	0.00022729048669228906	0.00022729999412177476	0.0002272960620900516	0.00022734524668883657	0.34423322960174196	0.19871930276846422	0.13414108913775488	0.00022727273078740635
44	0.001122334473608436	0.5382251799670277	0.001122446558977604	0.0011224813589446787	0.0011224298641950854	0.0011224651178217227	0.0011225203094324724	0.001122497347361044	0.45167286791543526	0.0011224426135853672	0.0011223344736107483
45	0.00037105751803350476	0.00037109649838652835	0.0003711061699795976	0.00037109005622566835	0.000371101795448101	0.00037107718440056636	0.0003710793219909827	0.9962891153756299	0.0003710954912725928	0.00037112307059876333	0.00037105751803388006
46	0.000547645132980215	0.0005477009110366725	0.0005476918864364703	0.9945232100427821	0.000547693329549637	0.0005476630884010792	0.0005476740412256464	0.0005476874837987687	0.000547708342817032	0.0005476806079915612	0.0005476451329809407
47	0.0001866716468313128	0.00018668942784776847	0.00018668784094336773	0.00018668623270666522	0.00018667863564749034	0.0001866893470126076	0.28023755770170405	0.7180822878005447	0.00018669221832852442	0.00018668750160211745	0.00018667164683152515
48	0.0004268032488202219	0.03980428570721524	0.00042682336650342413	0.000426831990985662	0.16554847823828764	0.0004268146519654261	0.00042682974852138836	0.0004268329766508566	0.7912326749612114	0.0004268218610179731	0.00042680324882068065
49	0.0004545454561394344	0.0004545576766528048	0.00045455912900842487	0.0004545587108397968	0.9954544487191117	0.0004545519315587126	0.0004545536784011229	0.0004545565807202559	0.00045456242806854403	0.00045456023335961	0.0004545454561395854
